lake_name,lake_abb
Bear Creek,bear
Big Sister,BS
Catfish,Cat
Chapman,Chap
Deans,Deans
Deans,Dean's
Deans,Dean
Deer,Deer
Herrick,Herrick
Memorial,Mem
NN1,NN1
NN2,NN2
NN3,NN3
Oglethorpe,Og
Parvo,Parvo
Picks,Picks
Sister 1,Sis1
Sister 3,Sis3
VIP,VIP
