Sample ID,Daphnia Sp.,Lake,Year,Date,Avg. Count,Spores,DNA Ext Date,MICGEN PCR,BERW PCR,MIC1 PCR,MIC2 PCR,MIC3 PCR,MICGEN SEQ (ident %),BERW SEQ,MIC1 SEQ,MIC2 SEQ,MIC3 SEQ,
64,Am,VIP,2021,4/9/2021,28.5,71250,DONE,BAND,,,,,MIC1 (99.28%),,,,,
65,Simo,NN3,2021,7/13/2021,2.3,5833,DONE ,BAND,,,,,,,,,,
66,Am,VIP,2021,4/9/2021,32,80000,,,,,,,,,,,,
67,Am,VIP,2021,4/9/2021,8,20000,,,,,,,MIC1 (99.20%),,,,,
68,Am,VIP,2021,4/9/2021,30.8,77083,DONE,BAND,,,,,MIC1 (99.20%),,,,,
69,Am,VIP,2021,4/16/2021,8.8,22083,DONE,BAND,,,,,MIC1 (99.20%),,,,,
70,Am,VIP,2021,4/16/2021,3.5,8750,DONE,BAND,,,,,,,,,,
71,Am,VIP,2021,4/16/2021,7.5,18750,DONE,BAND,,,,,,,,,,
72,Am,VIP,2021,4/16/2021,12.2,30416,DONE,BAND,,,,,MIC1 (99.28%),,,,,
73,Am,VIP,2021,4/16/2021,4.2,10416,,,,,,,,,,,,
74,Am,VIP,2021,4/21/2021,0.7,1666,DONE,BAND,,,,,MIC1 (99.28%),,,,,
75,Am,VIP,2021,4/21/2021,5.3,13333,DONE,BAND,,,,,MIC1 (99.28%),,,,,
76,Am,VIP,2021,4/21/2021,1.5,3750,DONE,BAND,,,,,MIC1 (99.28%),,,,,
77,Am,VIP,2021,4/21/2021,4.8,12083,,,,,,,,,,,,
78,Am,VIP,2021,4/28/2021,3.3,8333,,,,,,,,,,,,
79,Am,VIP,2021,4/21/2021,3.5,8750,DONE,BAND,,,,,re-seq F/R,,,,,
80,Am,VIP,2021,4/28/2021,4.7,11667,DONE,BAND,,,,,,,,,,
81,Am,BS,2021,4/14/2021,54.8,137083,DONE,BAND,,,,,MIC1 (99.20%),,,,,
82,Am,BS,2021,4/14/2021,22.3,55833,DONE,BAND,,,,,MIC1 (99.20%),,,,,
83,Am,BS,2021,4/14/2021,49,122500,DONE,BAND,,,,,MIC1 (99.20%),,,,,
84,Am,BS,2021,4/14/2021,2.2,5417,DONE,BAND,,,,,MIC1 (99.20%),,,,,
85,Am,BS,2021,4/14/2021,27.5,68750,DONE,BAND,,,,,MIC1 (99.20%),,,,,
86,Am,BS,2021,4/21/2021,30.2,75417,DONE,BAND,,,,,MIC1 (99.20%),,,,,
87,Am,BS,2021,4/21/2021,12.2,30417,DONE,BAND,,,,,MIC1 (99.20%),,,,,
88,Am,BS,2021,4/21/2021,9,22500,DONE,BAND,,,,,re-seq F/R,,,,,
89,Am,BS,2021,4/21/2021,8.3,20833,DONE,BAND,,,,,MIC1 (99.20%),,,,,
90,Am,BS,2021,4/21/2021,1.2,2917,DONE,BAND,,,,,MIC1 (99.20%),,,,,
91,Am,BS,2021,6/23/2021,53.2,132917,DONE,BAND,,,,,re-seq R,,,,,
92,Am,BS,2021,6/23/2021,11.5,28750,DONE,BAND,,,,,re-seq F/R,,,,,
93,Am,BS,2021,6/23/2021,63.7,159167,DONE,BAND,,,,,,,,,,
94,Am,BS,2021,6/23/2021,7,17500,DONE,BAND,,,,,re-seq F/R,,,,,
95,Am,BS,2021,6/23/2021,7.8,19583,DONE,BAND,,,,,re-seq F/R,,,,,
96,Am,BS,2021,7/13/2021,10.8,27083,DONE,BAND,,,,,MIC1 (99.3%),,,,,
97,Dia,Dean,2021,7/13/2021,129.3,323333,DONE,BAND,,,,,No match >94.92%,,,,,
